Geneid,control_1,control_2,control_3,treated_1,treated_2,treated_3
Gm42492,0,0,0,0,0,0
Gm7449,0,0,0,0,0,0
Gm37108,1,3,1,0,2,1
Gm37275,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0
Gm37489,0,0,0,0,0,0
Gm5694,0,0,0,0,0,0
Pcmtd1,34,31,21,26,26,22
Gm26983,0,0,0,0,0,0
Gm38372,1,2,1,2,3,1
Gm9826,2,2,0,0,1,0
Nras-ps2,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0
Gm19002,0,0,0,0,0,0
Gm26901,0,1,1,0,1,1
Gm18984,0,0,0,0,0,0
Gm30414,0,0,0,0,0,0
Gm37791,0,0,0,0,0,0
Gm7470,0,0,0,0,0,0
Rps2-ps2,0,0,0,0,0,0
Gm38216,0,1,0,0,2,0
Sntg1,0,0,0,0,0,0
Gm38024,0,0,0,0,0,0
Gm16284,0,0,0,0,0,0
Gm38259,0,0,0,0,0,0
ENSMUSG00002074990,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0
Gm15452,0,0,0,1,0,0
Gm36964,1,2,2,1,0,0
ENSMUSG00002075967,0,2,1,0,2,0
Gm6152,0,0,0,0,0,0
Gm7445,0,0,0,0,0,0
Gm7493,0,0,0,0,0,0
Gm37629,0,0,0,0,0,0
Gm38008,0,0,0,0,0,0
Gm37143,0,0,0,0,0,0
Gm6187,0,0,0,0,0,0
Gm18299,0,0,0,0,0,0
Gm7512,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0
Gm18300,0,0,0,0,0,0
Rrs1,82,87,83,88,80,95
Adhfe1,1,6,3,5,1,4
2610203C22Rik,0,1,0,0,0,0
Gm6161,0,0,0,0,0,0
Vxn,0,0,0,0,0,0
Gm29520,0,0,0,0,0,0
Mybl1,6,5,14,12,9,9
Vcpip1,159,171,163,163,162,160
1700034P13Rik,1,0,1,1,0,1
Sgk3,294,278,295,228,253,220
Gm6195,0,0,0,0,0,0
Mcmdc2,1,2,1,0,0,2
Snhg6,19,29,25,29,26,31
Snord87,0,0,0,0,0,0
Tcf24,1,0,0,1,2,0
E330040D14Rik,0,0,0,0,0,0
Ppp1r42,0,0,0,0,5,0
Gm15818,0,0,0,0,0,0
Gm24674,0,0,0,0,0,0
Cops5,94,102,118,81,96,91
Cspp1,53,35,47,36,42,33
1700047N06Rik,0,0,0,0,0,0
Arfgef1,235,226,297,231,228,238
7SK,9,10,10,19,25,16
Gm37569,0,0,0,1,0,0
Cpa6,0,0,0,0,1,0
Gm38005,0,0,0,0,0,0
Gm15604,0,0,0,0,0,0
Gm25253,0,0,0,0,0,0
Gm15603,0,0,0,0,0,0
Gm37133,0,0,0,0,0,0
Gm5522,0,0,0,0,0,0
Gm28659,0,0,0,0,0,0
SNORA66,0,0,0,0,0,0
Prex2,0,0,0,0,0,0
Gm24173,0,0,0,0,0,0
Gm28686,0,0,0,0,0,0
Gm37410,0,0,0,0,0,0
A830018L16Rik,0,0,0,0,0,0
Gm38178,0,0,0,0,0,0
Gm29273,0,0,0,0,0,0
Gm38069,0,0,0,0,0,0
Gm7560,0,0,0,0,0,0
Gm22633,0,0,0,0,0,0
Mir6341,0,0,0,0,0,0
Gm2383,0,0,0,0,0,0
Gm6216,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0
Gm29663,0,0,0,0,0,0
Sulf1,0,0,0,0,0,0
Slco5a1,1,1,0,0,2,1
Gm37162,0,0,0,0,0,0
Gm5250,0,0,0,0,0,0
Gm29283,0,0,0,0,0,0
Prdm14,0,0,0,0,0,0
Ncoa2,69,69,79,73,64,68
Gm38376,0,0,0,0,1,0
Gm37409,0,0,0,0,0,0
ENSMUSG00002076346,0,0,0,0,0,0
Gm38223,0,0,0,0,0,0
Gm37702,0,0,0,0,0,0
Gm23169,0,0,0,0,0,0
Gm38120,0,0,0,0,0,0
Gm38380,0,0,1,1,0,0
Gm29570,0,0,0,0,0,0
Gm7593,0,0,0,0,0,0
Tram1,311,267,298,257,299,260
Lactb2,47,57,52,55,67,78
Gm38319,0,1,2,1,1,3
Xkr9,0,0,0,0,0,0
Gm26273,0,0,0,0,0,0
Gm5523,0,0,0,0,0,0
Gm36947,0,0,0,0,0,0
Gm37400,0,0,0,0,0,0
Eya1,0,0,0,0,0,0
ENSMUSG00002075819,0,0,0,0,0,0
Gm37444,0,0,0,0,0,0
Gm9947,0,0,0,0,0,0
Msc,0,0,0,0,0,0
Gm37412,0,0,0,0,0,0
Smt3h2-ps4,0,0,0,0,0,0
Rpl5-ps1,1,0,0,0,0,0
Trpa1,0,0,0,1,0,0
Gm26345,0,0,0,0,0,0
Gm10566,0,0,0,1,0,0
Kcnb2,0,0,0,0,0,0
Gm38116,0,0,0,0,0,0
Gm37138,0,0,0,0,0,0
Gm25227,0,0,0,0,0,0
Gm25168,0,0,0,0,0,0
Gm6060,0,0,0,0,0,0
Gm28669,0,0,0,0,0,0
Terf1,39,51,33,23,30,39
Gm37509,0,0,0,0,1,0
Sbspon,0,0,0,0,0,0
Gm7634,0,0,0,0,0,0
4930444P10Rik,0,0,0,0,0,0
Rpl7,829,914,927,841,809,865
Rdh10,2,3,0,3,8,3
Gm38249,0,0,0,0,0,0
Gm28095,0,0,0,0,0,0
Stau2,38,52,41,31,36,36
Gm7568,0,0,0,0,0,0
Ube2w,90,73,87,83,81,96
Gm38342,2,0,2,1,0,3
Eloc,78,93,73,61,73,75
D030040B21Rik,0,1,0,0,0,0
Idi1-ps5,0,0,0,0,0,0
Tmem70,37,42,33,31,47,29
Ly96,0,1,1,3,2,1
Gm29649,0,0,0,0,0,0
Gm5828,0,0,0,0,0,0
Gm28376,0,0,0,0,0,0
4921511E07Rik,0,0,0,0,0,0
Jph1,0,0,0,0,0,0
Gm28783,0,0,0,0,0,0
Gdap1,0,0,0,0,0,0
Gm28784,0,0,0,0,0,0
Gm28785,0,0,0,0,0,0
Gm5251,0,0,0,0,0,0
Rbm6-ps1,1,2,1,1,0,0
Gm6075,0,1,0,0,0,0
Gm25166,0,0,0,0,0,0
Pi15,0,0,1,0,0,0
Gm28154,0,0,0,0,0,0
Gm16070,0,0,0,0,0,0
Crispld1,0,0,0,0,0,0
Gm28153,0,0,0,0,0,0
Gm7690,0,0,0,0,0,0
Gm18775,0,0,0,0,0,0
Gm17969,0,0,0,0,0,0
Gm28756,0,0,0,0,0,0
Gm28755,0,0,0,0,0,0
Gm45784,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0
Defb18,0,0,0,0,0,0
Defb41,0,0,0,0,0,0
Gm17837,0,0,0,0,0,0
Gm5252,0,0,0,0,0,0
Gm24075,0,0,0,0,0,0
Gm28343,0,0,0,0,0,0
Gm28344,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0
Gm10075,1,0,0,0,0,0
Tfap2b,0,0,0,0,0,0
Gm28340,0,0,0,0,0,0
Gm28341,0,0,0,0,0,0
Gm4849,0,0,0,0,0,0
SNORD29,0,0,0,0,0,0
Gm38382,0,0,0,0,0,0
Pkhd1,0,0,0,0,0,0
Gm37315,0,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0
Gm15795,0,0,0,0,0,0
Gm24162,0,0,0,0,0,0
Lincmd1,0,0,0,0,0,0
Mir206,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0
Il17a,0,0,0,0,0,0
Il17f,0,0,0,0,0,0
Mcm3,256,289,259,280,282,298
Gm20587,0,0,0,0,0,0
Gm28065,0,0,0,0,0,0
Gm24723,0,0,0,0,0,0
6720483E21Rik,0,0,0,0,0,0
Paqr8,0,2,2,0,0,0
Gm24171,0,0,0,0,0,0
Gm28064,0,0,0,0,0,0
Efhc1,0,0,0,0,0,0
Tram2,19,18,15,9,14,9
Gm28287,0,0,0,0,0,0
Gm2693,0,0,0,0,0,0
Tmem14a,1,0,0,0,1,1
Gm38224,0,0,0,0,0,0
Gsta3,0,0,0,0,0,0
Gm28836,0,0,0,0,0,0
Gm7094,0,0,0,0,0,0
Gm4956,0,0,0,0,0,0
Gm21909,0,0,0,0,0,0
Khdc1a,0,0,0,0,0,0
Gm16329,0,0,0,0,0,0
Gm16327,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0
Gm2709,0,0,0,0,0,0
Gm16533,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0
Gm16328,0,0,0,0,0,0
Kcnq5,8,16,17,15,10,13
Gm36949,0,0,0,0,0,0
Gm7658,0,0,0,1,1,0
Gm38243,0,0,0,0,0,0
Gm5696,0,0,0,0,0,0
Gm28239,0,0,0,0,0,0
Rims1,0,0,0,0,0,0
Gm26866,0,0,0,0,0,0
Gm7761,0,0,0,0,0,0
Gm29506,0,0,0,0,0,0
Ppp1r14bl,0,0,0,0,0,0
Gm24176,0,0,0,0,0,0
Gm6420,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0
Gm27028,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0
Gm29107,0,0,0,0,0,0
Gm20954,0,0,0,0,0,0
Ogfrl1,203,181,207,227,181,206
Gm7784,0,0,0,0,0,0
Gm28822,0,0,0,0,0,0
B3gat2,0,0,1,0,0,0
Smap1,46,63,65,56,63,57
Sdhaf4,13,8,1,3,7,8
Gm26524,0,0,0,0,0,0
Fam135a,0,0,0,0,0,0
Gm37580,0,0,0,0,0,0
Gm26607,0,0,0,0,0,0
Col9a1,0,0,0,0,0,0
Col19a1,0,0,0,3,0,0
Gm26418,0,0,0,0,0,0
Tubb4b-ps2,0,0,0,0,0,0
Gm28439,6,4,4,4,7,7
Gm10222,5,1,2,1,1,1
Gm28438,0,3,3,6,7,8
Gm28437,19,23,23,16,13,11
Gm10925,43,32,24,30,21,21
Gm28661,21,15,22,19,18,20
Gm29216,11,7,6,7,5,9
Lmbrd1,50,53,44,52,42,53
Gm28594,0,0,0,0,0,0
Gm28237,0,0,0,0,0,0
Gm9443,0,0,0,0,0,0
Gm29414,0,0,0,0,0,0
Adgrb3,0,0,0,0,0,0
Gm15702,0,0,0,0,0,0
Gm20172,0,0,0,0,0,0
Gm22260,0,0,0,0,0,0
Gm37543,0,0,0,0,0,0
Gm37331,0,0,0,0,0,0
Gm37211,0,0,0,0,0,0
Gm37862,0,0,0,0,0,0
Gm38286,0,0,0,0,0,0
Gm37880,0,0,0,0,0,0
Gm25294,0,0,0,0,0,0
Gm37011,0,0,0,0,0,0
Gm29214,0,0,0,0,0,0
Gm37051,0,0,0,0,0,0
Gm38260,0,0,0,0,0,0
Gm37628,0,0,0,0,0,0
8030445P17Rik,0,0,0,0,0,0
Gm38198,0,0,0,0,0,0
Gm37077,0,0,0,0,0,0
Gm37895,0,0,0,0,0,0
Gm36952,0,0,0,0,0,0
Gm37602,0,0,0,0,0,0
2900022M07Rik,0,0,0,0,0,0
2900002M20Rik,0,0,0,0,0,0
Gm9884,0,0,0,0,0,0
Gm18443,0,0,0,0,0,0
Gm19123,0,0,0,0,0,0
Gm24064,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0
n-R5s209,0,0,0,0,0,0
Gm19641,0,0,0,0,0,0
Gm5524,0,0,0,0,0,0
Gm18776,0,0,0,0,0,0
Gm19028,0,0,0,0,0,0
Gm38089,0,0,0,0,0,0
Gm7846,1,1,4,1,0,3
Gm597,0,0,0,0,0,0
Gm5697,0,0,0,0,0,0
Gm6462,0,0,0,0,0,0
Gm18033,0,0,0,0,0,0
Y_RNA,0,0,0,0,0,0
ENSMUSG00002076857,0,0,0,0,0,0
ENSMUSG00002074912,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0
Gm5525,3,3,1,3,0,0
Gm53035,0,0,0,0,0,0
Gm7858,0,0,0,0,0,0
ENSMUSG00002075317,0,0,0,0,0,0
ENSMUSG00002075289,0,0,0,0,0,0
Gm9898,0,0,0,0,1,0
Gm6473,0,0,0,0,0,0
Gm2914,0,0,0,0,0,0
Phf3,185,172,191,157,179,171
Gm37522,0,0,0,0,0,0
Gm37906,0,0,0,0,0,0
Ptp4a1,40,32,47,35,25,35
Gm5698,0,0,0,0,0,0
Gm9458,0,0,0,0,0,0
4931428L18Rik,0,0,0,0,0,0
Gm28644,0,0,0,0,0,0
5S_rRNA,1,1,0,0,0,3
Gm29128,0,0,0,0,0,0
Gm7893,0,0,0,0,0,0
Lgsn,0,0,0,0,0,0
Dnaaf6,0,0,0,0,0,0
Gm26145,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0
Gm28645,0,0,0,0,0,0
Gm6489,0,0,0,0,0,0
Eef1a1-ps2,0,0,0,0,0,0
Gm19680,0,1,0,1,1,0
Gm23032,0,0,0,0,0,0
Gm7910,0,0,0,0,0,0
Khdrbs2,0,0,0,0,0,0
Gm25814,0,0,0,0,0,0
Gm37999,0,0,0,0,0,0
Gm37110,0,0,0,0,0,0
Gm37911,0,0,0,0,0,0
Gm9839,0,0,0,0,0,0
Gm37792,0,0,0,0,0,0
Semp2l1,0,0,0,0,0,0
Gm24732,0,0,0,0,0,0
Gm37426,0,0,0,0,0,0
Gm37151,0,0,0,0,0,0
Gm28624,0,0,0,0,0,0
Gm37724,0,0,0,0,0,0
Gm7114,0,0,0,0,0,0
Gm4785,0,0,0,0,0,0
Gm24901,0,0,0,0,0,0
Gm37591,0,0,0,0,0,0
Gm2987,0,0,0,0,0,0
Gm25792,0,0,0,0,0,0
Gm18799,0,0,0,0,0,0
Gm7933,0,0,0,0,0,0
Gm23453,0,0,0,0,0,0
Prim2,43,55,38,54,52,52
Gm29228,0,0,0,0,0,0
Gm37618,0,0,0,0,0,0
Gm17813,0,0,0,0,0,0
1700001G17Rik,0,0,0,0,0,0
Gm38173,0,0,0,0,0,0
Rab23,8,13,8,5,7,14
Bag2,25,29,27,17,29,23
Gm37905,0,0,0,0,0,0
Zfp451,75,78,76,60,85,86
Gm15455,1,1,0,0,0,1
Bend6,0,0,0,0,0,0
Gm37067,0,0,0,0,0,0
Dst,0,0,0,0,0,0
Gm37354,0,0,0,0,0,0
Gm28631,0,0,0,0,0,0
Gm23792,0,0,0,0,0,0
Gm38157,0,0,0,0,0,0
Mir6896,0,0,0,0,0,0
Gm26788,0,0,0,0,0,0
A930005N03Rik,0,0,0,0,0,0
Gm37958,0,0,0,0,0,0
Gm37385,0,0,0,0,0,0
Gm5266,0,0,0,0,0,0
Gm3052,0,0,0,1,0,0
Gm37233,3,2,3,3,2,1
Mir5103,0,0,0,0,0,0
Ccdc115,42,43,45,37,38,35
Gm28306,0,0,0,0,0,0
Imp4,75,80,68,73,67,76
Ptpn18,7,20,10,8,15,10
Gm28417,1,2,0,0,2,2
4930568A12Rik,0,0,0,0,0,1
Prss39,0,0,0,0,0,1
Gm28416,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0
Gm28419,0,0,0,0,0,0
Prss40,0,0,0,0,0,0
1700101I19Rik,0,0,0,0,0,0
Amer3,0,0,0,1,0,0
Gm28418,0,0,0,0,0,0
Gm36984,0,0,0,0,0,0
Gm29730,0,0,0,0,0,0
AA619741,0,0,0,0,0,0
Arhgef4,5,4,6,3,3,7
Gm37224,0,0,0,0,0,0
Gm37845,0,0,0,0,0,0
SMIM39,0,0,0,0,0,0
Gm38336,1,0,0,0,0,0
Fam168b,186,166,174,142,174,189
Gm37127,0,0,0,0,0,0
Plekhb2,65,72,59,50,67,58
Gm19430,0,0,0,0,0,0
Gm37670,0,0,0,0,0,0
Gm8009,0,0,0,0,0,0
Gm38027,0,0,0,0,0,0
Gm25096,0,0,0,0,0,0
Gm37068,0,0,0,0,0,0
Gm25634,0,0,0,0,0,0
Gm28415,0,0,0,0,0,0
1110002O04Rik,0,0,0,0,0,0
Gm8022,0,0,0,0,0,0
Gm37146,0,0,0,0,0,0
Gm33222,0,0,0,0,0,0
4930535G08Rik,0,0,0,0,0,0
Gm38049,0,0,0,0,0,0
Hs6st1,13,12,20,14,8,6
Gm37335,0,0,0,0,0,0
Gm33280,0,0,0,1,0,0
Uggt1,267,278,295,301,258,245
Mir6897,0,0,0,0,0,0
Neurl3,47,53,38,37,46,47
Arid5a,17,6,10,11,16,13
4930403P22Rik,0,0,0,0,0,0
Kansl3,33,46,44,53,36,44
Mir6898,0,0,0,0,0,0
Fer1l5,0,0,0,0,0,0
Lman2l,24,27,22,17,25,36
Cnnm4,15,11,10,15,15,15
Gm37909,0,0,0,1,0,0
ENSMUSG00002075980,0,0,0,0,0,0
Cnnm3,15,17,13,19,27,29
Gm38033,0,0,0,0,0,0
Ankrd23,1,0,0,2,0,0
Gm42417,0,0,0,0,0,0
Ankrd39,8,7,7,4,5,7
Sema4c,7,7,4,3,5,9
D430040D24Rik,0,0,0,1,0,0
Fam178b,0,0,0,0,0,0
Gm6428,0,0,0,0,0,0
ENSMUSG00002075377,0,0,0,0,0,0
Cox5b,65,70,43,55,51,59
Actr1b,33,40,44,38,29,32
4933424G06Rik,0,0,0,0,0,0
Gm33533,0,0,0,0,0,0
Zap70,0,0,0,0,0,0
Gm18828,0,0,0,0,0,0
Tmem131,117,133,111,125,153,137
Gm37506,0,0,0,0,0,0
Gm38115,0,0,0,0,0,0
F830112A20Rik,0,0,0,0,0,0
Rpl12-ps1,0,0,0,0,0,0
n-R5s210,0,0,0,0,0,0
Vwa3b,0,0,0,0,0,0
Gm37020,0,0,0,0,0,0
Cnga3,0,1,0,1,0,0
1700074A21Rik,0,0,0,0,0,0
Inpp4a,18,12,14,21,26,20
4930439A04Rik,0,0,0,0,0,0
Gm37135,0,0,0,0,0,0
Coa5,120,137,107,161,143,161
Unc50,22,15,19,19,19,15
Mgat4a,45,44,38,36,39,31
4930594C11Rik,0,0,1,0,0,1
Gm43213,0,0,0,0,0,0
Cracdl,0,0,0,0,0,0
4930556I23Rik,0,0,0,0,0,0
4930470B04Rik,0,0,0,0,0,0
Gm19863,0,0,0,0,0,0
Tsga10,5,9,10,9,11,6
Gm26805,0,0,0,0,0,0
Lipt1,2,5,4,4,2,4
Mitd1,15,18,19,15,12,14
Mrpl30,32,34,43,51,26,48
Lyg2,0,0,0,0,0,0
Gm15457,0,0,0,0,0,0
Lyg1,0,0,0,0,0,0
Txndc9,74,69,66,69,64,64
Eif5b,253,252,278,251,243,262
Rev1,189,183,188,170,197,171
Gm37062,2,1,2,3,1,3
Gm5099,0,0,0,0,0,0
Aff3,0,0,0,0,0,0
Gm16150,1,0,0,0,0,0
Gm16151,0,0,0,0,0,0
Gm16152,0,0,0,0,0,0
Gm34727,0,0,0,0,0,0
Gm38135,0,0,0,0,0,0
2610300A13Rik,0,0,0,0,0,0
Lonrf2,0,0,0,0,0,0
Chst10,0,0,0,0,0,0
Gm37707,0,0,0,0,0,0
Gm6621,0,0,0,0,0,0
Nms,0,0,0,0,0,0
Pdcl3,41,35,51,50,29,38
Gm37309,1,1,0,1,2,2
Gm37821,0,0,0,0,0,0
Gm37091,0,0,0,0,0,0
Mir6349,0,0,0,0,0,0
Npas2,0,0,0,0,0,0
Gm20428,0,0,0,0,0,0
Gm3617,0,0,0,0,0,0
Rpl31,204,225,201,187,216,208
Tbc1d8,11,15,10,25,20,25
Gm37265,0,0,0,0,0,0
Gm24826,0,0,0,0,0,0
ENSMUSG00002076218,0,0,0,0,0,0
Cnot11,36,37,45,37,36,30
Gm15832,1,0,0,2,0,0
Snord89,0,1,0,3,0,0
Rnf149,32,31,25,26,20,34
Gm23722,0,0,1,0,0,0
Gm5100,0,0,0,0,0,0
Creg2,0,0,0,0,0,0
D930019O06Rik,0,0,0,0,0,0
Rfx8,0,0,0,0,0,0
Gm3646,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0
Map4k4,66,71,87,51,46,52
4930456G14Rik,0,0,0,0,0,0
Il1r2,1,0,0,0,1,0
Gm16894,0,0,0,0,0,1
Gm37347,0,0,0,0,0,0
Il1r1,1,0,0,0,0,0
Gm38070,0,0,0,0,0,1
Il1rl2,0,0,0,0,0,0
Gm17970,0,0,0,0,0,0
Il1rl1,0,0,0,0,0,0
Il18r1,0,0,0,0,0,0
Il18rap,29,40,35,50,41,36
Gm35801,0,0,0,0,0,0
Slc9a4,0,0,0,0,0,0
Gm37435,0,0,0,0,0,0
Slc9a2,0,0,0,0,0,0
Gm37623,0,0,0,0,0,0
Gm37915,0,0,0,0,0,0
Mfsd9,1,1,0,0,0,2
Tmem182,0,0,0,0,0,0
Gm5973,0,0,0,0,0,0
4930448I06Rik,0,0,0,0,0,0
Gm28634,0,0,0,0,0,0
Gm29260,0,0,0,0,0,0
Gm5267,0,0,0,0,0,0
Gm8176,0,0,0,0,0,0
Gm9915,0,0,0,0,0,0
Gm29664,0,0,0,0,0,0
Gm28175,0,0,0,0,0,0
Gm28140,0,0,0,0,0,0
Gm37047,0,0,0,0,0,0
Pantr1,0,0,0,0,0,0
4930420N18Rik,0,0,0,0,0,0
Pou3f3,0,0,0,0,0,0
Gm20646,0,0,0,0,0,0
Pantr2,0,0,0,0,0,0
Dalir,0,0,0,0,0,0
Mrps9,44,41,56,44,52,38
Gm23126,0,0,0,0,0,0
Gpr45,0,0,0,0,0,0
ENSMUSG00002075628,0,0,0,0,0,0
Tgfbrap1,26,26,25,31,25,23
Gm28782,0,0,0,0,0,0
8430432A02Rik,0,0,0,0,0,0
AI597479,31,44,32,43,34,44
Fhl2,0,0,0,0,0,0
Gm8210,0,0,0,0,0,0
Gm29040,0,0,0,0,0,0
Gm29610,0,0,0,0,0,0
Gm29041,0,0,0,0,0,0
Nck2,15,15,10,13,6,12
Gm37536,1,0,0,0,0,0
Gm38228,1,3,1,2,0,1
Ecrg4,0,0,0,0,0,0
Gm29155,0,2,0,1,0,0
Gm29157,0,0,0,0,0,0
Gm29156,1,0,0,0,0,0
Uxs1,37,53,52,50,48,52
Gm16103,0,0,0,0,0,0
Gm19587,0,0,0,0,0,0
Gm8241,0,0,0,0,0,0
Gm26352,0,0,0,0,0,0
ENSMUSG00002075225,0,0,0,0,0,0
Tpp2,204,213,208,185,209,197
Mettl21c,0,0,0,0,0,0
Gm15838,0,0,0,0,0,0
Gm8251,0,2,1,2,0,2
Tex30,43,32,40,30,26,24
Gm29247,0,0,0,0,0,0
Poglut2,22,23,22,21,17,24
Bivm,14,23,23,15,18,20
Ercc5,24,12,19,21,13,15
Mettl21e,0,0,0,0,0,0
Gm15833,0,0,0,0,0,0
Gm5700,0,0,0,0,0,0
Gm28893,0,0,0,0,0,0
Txn-ps1,0,0,0,0,0,0
Gulp1,0,0,0,0,0,0
Gm37626,0,0,0,0,0,0
Gm16102,0,0,0,0,0,0
4930521E06Rik,0,0,0,0,0,0
Gm38110,0,0,0,0,0,0
Gm3489,0,0,0,0,0,0
Gm19480,0,0,0,0,0,0
Gm3496,0,0,0,0,0,0
Gm5268,0,0,0,0,0,0
Col3a1,0,0,0,0,0,0
ENSMUSG00002074901,0,0,0,0,0,0
Col5a2,0,0,0,0,0,0
Gm38211,0,0,0,0,0,0
Gm8296,0,0,0,0,0,0
Gm7063,0,0,0,0,0,0
Gm8304,0,0,0,0,0,0
Gm23216,0,0,0,0,0,0
Gm23974,0,0,0,0,0,0
Gm8307,0,0,0,0,0,0
Gm23984,0,0,0,0,0,0
Wdr75,98,95,93,84,90,90
Gm28906,0,0,0,0,0,0
Gm5526,1,2,0,0,1,0
Gm5269,1,0,0,0,0,0
Gm18303,0,0,0,0,0,0
Slc40a1,14,19,19,28,34,30
Gm9496,0,0,0,0,0,0
Rpl23a-ps1,0,0,0,0,0,0
Gm3852,0,0,0,0,0,0
Stk-ps2,0,0,0,0,0,0
Gm18849,0,0,0,0,0,0
Dnah7b,1,0,0,0,0,0
n-R5s211,0,0,0,0,0,0
Gm8326,0,0,0,0,0,0
Dnah7c,0,0,0,0,0,0
Slc39a10,31,34,29,33,24,25
Gm28151,1,0,1,0,0,1
Gm37393,0,0,0,0,0,0
Gm28527,0,0,0,0,0,0
Gm28825,0,0,0,0,0,0
Gm28826,0,0,0,0,0,0
Gm4852,0,0,0,0,0,0
Gm38090,0,0,0,0,0,0
Mir6350,0,0,0,0,0,0
Gm18117,0,0,0,0,0,0
Gm37196,0,0,0,0,0,0
Gm8337,0,0,0,0,0,0
ENSMUSG00002075213,0,0,0,0,0,0
Gm19206,0,0,0,0,0,0
Gm5974,0,0,0,0,0,0
Gm23240,0,0,0,0,0,0
Gm28830,0,0,0,0,0,0
Gm8354,0,0,0,0,0,0
Gm19124,0,0,0,0,0,0
Gm8357,0,0,0,0,0,0
ENSMUSG00002076043,0,0,0,0,0,0
Gm28740,0,0,0,0,0,0
Gm8367,0,0,0,0,0,0
C230029F24Rik,0,0,0,0,0,0
Gm6757,0,0,0,0,0,0
Gm3605,0,0,0,0,0,0
Gm28388,0,0,0,0,0,0
Gm8384,0,0,0,0,0,0
4933411E06Rik,0,0,0,0,0,0
Gm8391,0,0,0,0,0,0
ENSMUSG00002075839,0,0,0,0,0,0
Gm29665,0,0,0,0,0,0
Gm20118,0,0,0,0,0,0
Gm28321,0,0,0,0,0,0
Tmeff2,0,0,2,0,0,0
Gm28322,0,0,0,0,0,0
ENSMUSG00002075527,0,0,0,0,0,0
Gm28319,0,0,0,0,0,0
Gm28320,0,0,0,0,0,0
Gm29325,0,0,0,0,0,0
9330175M20Rik,0,0,0,0,0,0
Cavin2,0,0,0,0,0,0
Gm5253,0,0,0,0,0,0
1700072G22Rik,0,0,0,0,0,0
Nabp1,29,21,20,26,31,21
Gm17767,0,0,0,0,1,0
Gm37535,0,0,0,0,0,0
